iter	Logloss
0	0.661396092
1	0.6345019497
2	0.6129158478
3	0.5934793416
4	0.574827436
5	0.557921236
6	0.5437682552
7	0.5286452245
8	0.5161913798
9	0.5076685916
10	0.4996100378
11	0.4916038728
12	0.4834234365
13	0.4743830307
14	0.4688232634
15	0.4640528461
16	0.4586587966
17	0.4546077577
18	0.4503603995
19	0.4443061249
20	0.4409880852
21	0.4365841346
22	0.4323424458
23	0.4288085195
24	0.4256923275
25	0.4236197917
26	0.4209856972
27	0.4176468988
28	0.4165417352
29	0.414001781
30	0.4100283662
31	0.4080447559
32	0.4052814929
33	0.4037632356
34	0.4015215902
35	0.398846963
36	0.3967461778
37	0.3935129545
38	0.3923600242
39	0.3908803578
40	0.3889011072
41	0.3872647798
42	0.3862208418
43	0.3847030099
44	0.3833010115
45	0.3821093665
46	0.3810824895
47	0.3799366522
48	0.3787837527
49	0.3785239144
50	0.3776570961
51	0.3769508202
52	0.3762598269
53	0.3755191471
54	0.3744729012
55	0.3733991301
56	0.3720863288
57	0.3711260199
58	0.3699676619
59	0.3691399435
60	0.3681179324
61	0.3667012097
62	0.3652179679
63	0.3636562508
64	0.3629805822
65	0.3623939476
66	0.3620873729
67	0.3610253672
68	0.3603154856
69	0.359312209
70	0.3588595804
71	0.3581296638
72	0.3570166139
73	0.3562603927
74	0.3552027324
75	0.3541973769
76	0.3535723565
77	0.3533092897
78	0.3528851765
79	0.3513219443
80	0.3502871002
81	0.3495325901
82	0.3486347575
83	0.3482643048
84	0.3478517885
85	0.3472614269
86	0.3470632726
87	0.3468945869
88	0.3464525993
89	0.3458901227
90	0.3454583957
91	0.3446437687
92	0.343971872
93	0.3433721832
94	0.3428720521
95	0.3419713035
96	0.3415856156
97	0.3412960277
98	0.3408083399
99	0.3401977363
100	0.3401052916
101	0.3394613769
102	0.3391904458
103	0.3388685464
104	0.3384604609
105	0.3380627887
106	0.3372251559
107	0.3368642234
108	0.3359961361
109	0.3352695971
110	0.3349705311
111	0.3346424892
112	0.3340443199
113	0.3338692921
114	0.3336572958
115	0.3331695917
116	0.3328089909
117	0.332375106
118	0.3319443677
119	0.33167132
120	0.3313024701
121	0.3307488506
122	0.330015493
123	0.3293537002
124	0.3289957449
125	0.3285191331
126	0.3283692951
127	0.327971108
128	0.3272476116
129	0.326776886
130	0.326362282
131	0.3259214385
132	0.325759971
133	0.3250391411
134	0.3247649615
135	0.3242542183
136	0.3239434679
137	0.3232798966
138	0.3230533379
139	0.3226592394
140	0.3222875819
141	0.3218597392
142	0.3216662679
143	0.3213247028
144	0.321026146
145	0.3204810091
146	0.3200387441
147	0.3196615317
148	0.3193915176
149	0.3192446809
150	0.3187399327
151	0.3183453101
152	0.3180787111
153	0.3178271609
154	0.3172739964
155	0.3169900146
156	0.3166851792
157	0.3162671566
158	0.3159042904
159	0.3156717506
160	0.315213158
161	0.3146266651
162	0.3145315329
163	0.3141375744
164	0.3136035042
165	0.312893164
166	0.3119824086
167	0.3114951099
168	0.311060039
169	0.3106034866
170	0.3102557554
171	0.3100784222
172	0.3098512153
173	0.3092055525
174	0.3088189492
175	0.3085216486
176	0.3082943266
177	0.3077440227
178	0.3069526876
179	0.306488011
180	0.3061212565
181	0.305657815
182	0.304870885
183	0.3047274233
184	0.304441294
185	0.3036529576
186	0.3033459216
187	0.3029765557
188	0.3026060292
189	0.3023525016
190	0.3019020588
191	0.3016645401
192	0.3010330196
193	0.3006955162
194	0.3004276596
195	0.3000238374
196	0.2996783096
197	0.2992224516
198	0.2988752649
199	0.2984421889
200	0.298210809
201	0.2977739133
202	0.2974618079
203	0.2971805609
204	0.2968867985
205	0.2962887009
206	0.2959222919
207	0.2953379665
208	0.2947804685
209	0.2945538445
210	0.2939247138
211	0.2930513588
212	0.2928137776
213	0.2919849902
214	0.2916808805
215	0.2914121136
216	0.2913129222
217	0.2912170787
218	0.290974396
219	0.290153412
220	0.2900538113
221	0.2899012162
222	0.2895648683
223	0.2893580685
224	0.2891183905
225	0.2888194311
226	0.2882959572
227	0.2877939317
228	0.2877749953
229	0.2875206997
230	0.2872590932
231	0.2867256128
232	0.2865432572
233	0.2862216019
234	0.285856663
235	0.2855092465
236	0.2848859435
237	0.2847646784
238	0.284285321
239	0.2838131326
240	0.2835342657
241	0.2832628867
242	0.2830222073
243	0.2826383009
244	0.2822087161
245	0.2819707682
246	0.2816197188
247	0.2808628803
248	0.2805717918
249	0.2799861739
250	0.2797227514
251	0.2793620437
252	0.278973058
253	0.2786444824
254	0.2782723917
255	0.2777079768
256	0.2776324879
257	0.2771986358
258	0.2765632028
259	0.2762013253
260	0.2756677335
261	0.2754907741
262	0.275144245
263	0.2749732292
264	0.2744644796
265	0.2741156921
266	0.2738247964
267	0.2730461236
268	0.2725032578
269	0.2723982758
270	0.2719326676
271	0.2716948423
272	0.2712469268
273	0.2709590677
274	0.2706832918
275	0.2704544717
276	0.2701536976
277	0.2696679794
278	0.2690010322
279	0.2685394722
280	0.2680549377
281	0.2676859901
282	0.2674701558
283	0.2670024503
284	0.2667597428
285	0.2661780321
286	0.2656792764
287	0.2654905013
288	0.2652194404
289	0.2645164225
290	0.2642895742
291	0.2637336571
292	0.2630581522
293	0.2626955438
294	0.2620340185
295	0.2618618212
296	0.2614696462
297	0.2610503582
298	0.2607044944
299	0.260569361
300	0.2601570612
301	0.2599137586
302	0.2595360547
303	0.259239547
304	0.2591289742
305	0.2588641717
306	0.2586791187
307	0.2585142487
308	0.258473302
