iter	Passed	Remaining
0	11	11360
1	23	11882
2	34	11617
3	46	11527
4	57	11410
5	69	11448
6	80	11446
7	90	11257
8	101	11202
9	112	11129
10	122	11052
11	133	11011
12	144	10980
13	155	10925
14	165	10881
15	176	10852
16	187	10843
17	197	10784
18	207	10722
19	217	10679
20	228	10632
21	239	10630
22	250	10622
23	260	10589
24	270	10552
25	281	10531
26	295	10665
27	307	10688
28	316	10580
29	327	10577
30	337	10557
31	347	10526
32	358	10510
33	369	10485
34	379	10463
35	390	10448
36	401	10441
37	411	10429
38	422	10401
39	432	10383
40	443	10373
41	454	10356
42	464	10336
43	474	10317
44	486	10314
45	496	10294
46	506	10269
47	516	10251
48	527	10228
49	532	10118
50	543	10108
51	554	10101
52	564	10095
53	575	10083
54	586	10070
55	595	10046
56	606	10037
57	617	10032
58	628	10016
59	638	10009
60	650	10006
61	660	9996
62	671	9983
63	681	9968
64	692	9958
65	699	9902
66	709	9885
67	720	9875
68	730	9862
69	742	9861
70	753	9854
71	763	9838
72	773	9823
73	784	9811
74	794	9802
75	805	9790
76	816	9783
77	826	9773
78	841	9815
79	852	9802
80	862	9789
81	873	9777
82	884	9766
83	894	9755
84	905	9746
85	916	9740
86	928	9738
87	938	9724
88	949	9715
89	960	9707
90	970	9694
91	981	9682
92	991	9672
93	1002	9660
94	1013	9655
95	1024	9643
96	1034	9629
97	1045	9621
98	1056	9612
99	1067	9603
100	1072	9547
101	1082	9534
102	1093	9523
103	1104	9514
104	1114	9497
105	1124	9486
106	1135	9474
107	1146	9473
108	1157	9464
109	1168	9455
110	1178	9440
111	1189	9432
112	1200	9421
113	1211	9413
114	1221	9403
115	1232	9396
116	1243	9383
117	1254	9374
118	1265	9365
119	1275	9354
120	1286	9344
121	1297	9336
122	1308	9330
123	1319	9320
124	1330	9310
125	1341	9304
126	1352	9297
127	1362	9285
128	1374	9278
129	1385	9271
130	1397	9270
131	1410	9277
132	1422	9272
133	1437	9290
134	1449	9288
135	1461	9286
136	1474	9287
137	1486	9284
138	1497	9275
139	1508	9266
140	1519	9257
141	1531	9252
142	1544	9254
143	1556	9251
144	1568	9246
145	1580	9246
146	1591	9233
147	1602	9223
148	1612	9211
149	1623	9200
150	1634	9188
151	1644	9176
152	1655	9167
153	1667	9158
154	1678	9148
155	1689	9138
156	1700	9130
157	1711	9121
158	1722	9110
159	1733	9101
160	1744	9092
161	1756	9083
162	1765	9065
163	1776	9057
164	1787	9046
165	1798	9035
166	1809	9023
167	1820	9014
168	1830	9003
169	1842	8997
170	1854	8988
171	1865	8979
172	1876	8970
173	1887	8961
174	1898	8950
175	1909	8939
176	1920	8930
177	1931	8919
178	1942	8909
179	1953	8898
180	1963	8886
181	1975	8876
182	1985	8865
183	1996	8853
184	2007	8843
185	2017	8831
186	2029	8822
187	2039	8810
188	2050	8797
189	2061	8787
190	2072	8776
191	2082	8765
192	2093	8755
193	2104	8744
194	2115	8733
195	2126	8724
196	2138	8717
197	2149	8707
198	2161	8701
199	2174	8697
200	2186	8691
201	2198	8684
202	2209	8675
203	2220	8663
204	2231	8652
205	2242	8643
206	2253	8631
207	2263	8620
208	2275	8611
209	2286	8600
210	2296	8587
211	2306	8574
212	2318	8565
213	2328	8553
214	2339	8541
215	2350	8532
216	2361	8521
217	2371	8507
218	2382	8495
219	2392	8483
220	2402	8468
221	2412	8455
222	2423	8443
223	2433	8429
224	2460	8473
225	2470	8461
226	2481	8448
227	2491	8437
228	2502	8426
229	2513	8415
230	2524	8404
231	2535	8391
232	2545	8379
233	2556	8368
234	2566	8355
235	2577	8345
236	2588	8332
237	2599	8324
238	2611	8316
239	2622	8306
240	2633	8294
241	2644	8281
242	2656	8276
243	2667	8266
244	2678	8254
245	2687	8238
246	2698	8227
247	2710	8217
248	2720	8204
249	2730	8192
250	2742	8184
251	2753	8174
252	2764	8161
253	2775	8152
254	2785	8139
255	2796	8127
256	2806	8114
257	2817	8102
258	2827	8089
259	2837	8077
260	2848	8064
261	2859	8053
262	2869	8041
263	2880	8029
264	2890	8016
265	2901	8005
266	2912	7994
267	2923	7984
268	2933	7972
269	2944	7961
270	2955	7949
271	2965	7937
272	2976	7925
273	2986	7913
274	2997	7902
275	3009	7893
276	3020	7882
277	3030	7870
278	3041	7860
279	3052	7849
280	3063	7837
281	3074	7826
282	3084	7815
283	3095	7803
284	3106	7792
285	3116	7779
286	3127	7770
287	3138	7759
288	3149	7749
289	3160	7738
290	3171	7728
291	3182	7717
292	3193	7706
293	3204	7694
294	3214	7682
295	3225	7671
296	3236	7660
297	3247	7650
298	3258	7639
299	3269	7629
300	3280	7618
301	3291	7607
302	3302	7596
303	3313	7585
304	3323	7573
305	3334	7562
306	3345	7552
307	3357	7542
308	3367	7531
